rev_id	attack
37675	0
44816	0
49851	0
89320	1
93890	0
102817	0
103624	0
111032	0
120283	0
128532	0
133562	0
138117	0
155243	1
177310	0
192579	1
201190	0
208009	0
249432	1
252031	0
268558	0
276906	0
286174	0
290598	1
294124	0
297866	0
317177	0
336654	0
344567	0
356383	0
358984	0
360594	0
375422	1
376205	0
377054	0
386473	0
388807	0
398923	1
421948	0
460946	0
462765	0
537948	0
546902	0
554005	1
569192	1
583986	0
586452	0
593977	0
600918	0
622095	1
633526	1
661509	1
680470	1
694840	1
700512	0
707010	0
709074	0
724915	0
749616	0
783899	0
784353	0
801279	1
804607	1
808184	0
810614	0
811924	0
823763	0
833825	1
840118	0
849920	1
907749	0
916927	1
920274	0
923974	0
943685	0
945573	0
946822	0
966578	0
967899	0
968361	0
977682	0
996869	0
999587	0
1028038	0
1062754	0
1064649	1
1078251	0
1078839	1
1084843	0
1100463	0
1106855	0
1111314	0
1126594	1
1133583	1
1140231	0
1173977	1
1185345	1
1212997	0
1220372	0
1221055	1
1226695	0
1228544	0
1233393	0
1240138	1
1244940	0
1250844	1
1271243	1
1272192	0
1274893	1
1287308	0
1308838	0
1319467	1
1335953	0
1342010	0
1344626	0
1353904	0
1378881	1
1399397	1
1424317	0
1430603	0
1437269	0
1445262	1
1450441	1
1467956	0
1471111	0
1498304	0
1502668	1
1511787	1
1512122	0
1514095	1
1524672	0
1571456	1
1602567	0
1607151	0
1613088	0
1614861	0
1619034	0
1626365	0
1648870	0
1681351	0
1688728	1
1691773	0
1695416	0
1710587	1
1727501	0
1739728	1
1746212	0
1766005	1
1797312	0
1818201	0
1818757	0
1822867	1
1842885	1
1870012	0
1880686	0
1885751	0
1886077	0
1893214	0
1904322	0
1915850	0
1929392	0
1951021	0
1958817	1
2019031	1
2127009	0
2128377	0
2154637	0
2169884	0
2178019	0
2199800	0
2200466	1
2204998	0
2205553	1
2279790	0
2282897	0
2314562	1
2317983	0
2333292	0
2336156	1
2337410	1
2337738	0
2339911	1
2344408	0
2372659	0
2382504	0
2393060	0
2393813	0
2404372	0
2434442	1
2492647	1
2499761	0
2509442	0
2513570	0
2517349	0
2528768	0
2530720	0
2554704	0
2596359	0
2600857	0
2606162	1
2608091	0
2610242	0
2616381	0
2628839	1
2637993	1
2644049	1
2655107	0
2691812	0
2702703	1
2727211	1
2768165	0
2798813	0
2807850	1
2809532	1
2822026	1
2822748	0
2823542	0
2825604	1
2872735	0
2873647	0
2883799	0
2912786	0
2930834	1
2936710	0
2942923	1
2952690	0
2991403	1
3006949	0
3022621	0
3043866	1
3053593	0
3082233	0
3094437	0
3113708	0
3127196	0
3132477	1
3136117	0
3148037	1
3154173	1
3156619	1
3191134	0
3202092	0
3204013	0
3218970	1
3224969	1
3269610	0
3275647	0
3316450	0
3336752	0
3336806	0
3338384	0
3346958	0
3348723	0
3360621	1
3367698	0
3368922	0
3370685	0
3391540	0
3418180	0
3423447	0
3449295	0
3476363	0
3476411	0
3483810	0
3492883	0
3494080	1
3525676	1
3534983	0
3537816	0
3568531	1
3578859	1
3591206	0
3592470	1
3604206	1
3604478	0
3607710	1
3637110	1
3658913	0
3659754	0
3661333	0
3686608	0
3687369	0
3720681	1
3721507	0
3729208	0
3734468	1
3768454	0
3793165	1
3798128	1
3805086	0
3805237	0
3807888	0
3819624	0
