attack	comment
1	I fairness and equality was my goal....if you think this is antiwikipeida a not trying to imporove wiki then fuck you.NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKEN
1	"NEWLINE_TOKENNEWLINE_TOKEN::I'm not trying to get myself unblocked.  I never was.  I don't care whether or not I'm blocked for 72 hours.  I'm trying to prove a point.  And it's working.  When you claim that a single revert, coupled with discussion, is an edit war, you're proving that you're a little kid who is a petty bureaucrat with no common sense.  Every admin that upholds your block is proving that the description applies to them too.  It's not a personal attack.  It's an attack on the substance of the issue, and it's absolutely right. -   "
1	NEWLINE_TOKEN* I think I done caught me an impostor. Better luck next time. ;)NEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKEN
0	NEWLINE_TOKEN:::Qaradawi did as well. And so did pretty much every sheikh outside lebanon and Syria. Besides He already defined his opposition to the Syrian government in April. He also called for muslims to fight gaddafi. Not important.   
1	"`NEWLINE_TOKENNEWLINE_TOKENHello, please note that you added many dead Wiki Links to the Sudbury Nickel Barons article. None of the young men on the roster have Wikipedia pages, and the ones that '''DID'`` lead somewhere were for the incorrect person. Please be aware of this in the future. Thank you. Want to know how to keep an idiot busy? Click here. `"
0	"well I have re instated them and will continue to do so as they seem plainly constructive to me, and will not be dictated to"
0	"`NEWLINE_TOKENNEWLINE_TOKEN:Oh, to my knowledge the phrase originates from Shakespeare's ``Much Ado About Nothing:NEWLINE_TOKEN NEWLINE_TOKEN::SEXTON. But which are the offenders that are to be examined? let them come before Master constable.NEWLINE_TOKENNEWLINE_TOKEN::DOGBERRY. Yea, marry, let them come before me. NEWLINE_TOKENNEWLINE_TOKEN:I was using it to refer to Tulane's legal dept, lol. `"
0	 norway will participate next year. i am already discussing it on nrks own forum.
0	"`NEWLINE_TOKENNEWLINE_TOKEN::YAY!! You're not leaving? That's a relief. Again thank you for your support; it means a lot and goes a long way, I hope you don't mind but as of now can we not talk about my block anymore? I know my message was about it and you had to respond, but I want to feel like it never happened and that means just acting like it never happened (we both know it did, I just want to move on). Thanks, talk soon !!   `"
1	"NEWLINE_TOKENNEWLINE_TOKEN#Please don't add to the Tomorrow's featured article list unless the suggestion is a featured article, there is a process for encouraging the development of an article to becoming one, called featured article candidate or FAC process, this takes a great deal of time and effort and begins with a peer review, none of the steps have been done for the Billingham article.  I have therefore removed the article from listing.   "
1	 The sooner you people just cut the crap and get on with writing wikipedia the encyclopedia and hang up your sheriff badges the better.
